,,,,
Constant,,Dimension,Alias,Definition & Notes
Nuclear magneton μN ,5.050 783 53[11] e-27 ,m2.A,J/T ,= (1/2)(h/2π)(e/mp) 
Nuclear magneton in Hz/T ,7.622 593 57[17] e+6 ,kg-1.s.A,Hz/T ,= μN/h = [Larmor frequency]/[g-factor]; ~ 7.6 MHz/T 
"Proton (stable baryon, nucleon, hadron, charge +1, spin 1/2, fermion, parity +, isospin 1/2, its anti-particle antiproton has opposite charge) ",,,,
Proton rest mass mp ,1.672 621 777[74] e-27 ,kg ,,1.007 276 466 812[90] u 
Proton rest energy (mc2) ,1.503 277 484[66] e-10 ,kg.m2.s-2,J ,938.272 046[21] MeV; quarks composition: uud 
Proton / electron mass ratio ,1836.15267245[75] ,Dimensionless ,,inverse: 5.4461702178[22]e-4 
"Compton wavelength of proton λC,p ",1.321 409 856 23[94] e-15 ,m ,,"λC,p = h / c mp "
Proton rms charge radius ,0.8775[51] e-15 ,m ,,
Proton magnetic moment ,1.410 606 743[33] e-26 ,m2.A,J/T ,μp 
Proton g-factor ,5.585 694 713[46] ,Dimensionless ,,= μp / (Sp μN) 
Proton gyromagnetic ratio ,42.577 4806[10] e+6 ,kg-1.s.A,Hz/T ,γp = μp / h Sp. 
Proton gyromagnetic ratio shielded,42.576 388 1[12] e+6 ,kg-1.s.A,Hz/T ,"In H2O,  standard conditions"
Proton magnetic shielding ,25.694[14] e-6 ,Dimensionless ,,Relative value for pure water at 25 °C 
Electric dipole moment ,< 8.7 e-45 ,m.s.A ,C.m ,< 5.4 e-24 e.cm; existence not confirmed 
Electric polarizibility ,1.20[6] e-48 ,m3,,
Magnetic polarizibility ,1.9[5] e-49 ,m3,,
"Neutron (baryon, nucleon, hadron, charge 0, spin 1/2, fermion, parity +, isospin 1/2, its anti-particle is antineutron) ",,,,
Neutron rest mass mn ,1.674 927 351[74] e-27 ,kg ,,1.008 664 916 00[43] u 
Neutron rest energy (mc2) ,1.505 349 631[66] e-10 ,kg.m2.s-2,J ,939.565 379[21] MeV; quarks composition udd 
"Compton wavelength of neutron λC,n ",1.319 590 9068[11] e-15 ,m ,,"λC,n = h / c mn "
Neutron half-life time ,881.5[15] ,s ,,Beta-decay into proton + e- + νe 
Neutron magnetic moment ,- 0.966 236 47[23] e-26 ,m2.A,J/T ,μn 
Neutron g-factor ,- 3.826 085 45[90] ,Dimensionless ,,= μn / (Sn μN) 
Neutron gyromagnetic ratio ,29.164 6943[69] e+6 ,kg-1.s.A,Hz/T ,γn = μn / h Sn 
Electric dipole moment ,< 4.6 e-47 ,m.s.A ,C.m ,< 2.9 e-26 e.cm; existence not confirmed 
Electric polarizibility ,1.16[15] e-48 ,m3,,
Magnetic polarizibility ,3.7[20] e-49 ,m3,,
"Deuteron (stable nuclide, protons 1, neutrons 1, charge +1, spin 1, boson) ",,,,
Deuteron rest mass ,3.343 583 48[15] e-27 ,kg ,,2.013 553 212 712[77] u 
Deuteron rest energy (mc2) ,3.005 062 97[13] e-10 ,kg.m2.s-2,J ,1875.612 859[41] MeV 
Deuteron rms charge radius ,2.1424[21] e-15 ,m ,,
Deuteron magnetic moment ,0.433 073 489[10] e-26 ,m2.A,J/T ,
Deuteron g-factor ,0.857 438 2308[72] ,Dimensionless ,,
Deuteron gyromagnetic ratio ,6.535 903 381 41 e+6 ,kg-1.s.A,Hz/T ,
Deuteron quadrupole moment ,4.581 e-50 ,m2.s.A,C.m2 ,0.2859 e(fm)2 
"Triton (stable nuclide, protons 1, neutrons 2, charge +1, spin 1/2, fermion) ",,,,
Triton rest mass ,5.007 356 30[22] e-27 ,kg ,,3.015 500 7134[25] u 
Triton rest energy (mc2) ,4.500 387 41[20] e-10 ,kg.m2.s-2,J ,2808.921 005[62] MeV 
Triton half-life time ,3.888[70] e+8 ,s ,,= 12.32 years; beta-decay into 3He + e- + νe 
Triton magnetic moment ,1.504 609 447[38] e-26 ,m2.A,J/T ,
Triton g-factor ,5.957 924 896[76] ,Dimensionless ,,
Triton gyromagnetic ratio ,45.413 674 6[13] e+6 ,kg-1.s.A,Hz/T ,
"Helion (stable nuclide, protons 2, neutrons 1, charge +2, spin 1/2, fermion, nuclide) ",,,,
Helion rest mass ,5.006 412 34[22] e-27 ,kg ,,3.014 932 2468[25] u 
Helion rest energy (mc2) ,4.499 539 02[20] e-10 ,kg.m2.s-2,J ,2808.391 482[62] MeV 
Helion magnetic moment ,- 1.074 617 486[27] e-26 ,m2.A,J/T ,Shielded 
Helion g-factor ,- 4.255 250 613[50] ,Dimensionless ,,
Helion gyromagnetic ratio ,32.434 101 98[90] e+6 ,kg-1.s.A,Hz/T ,Shielded 
"Alpha particle (stable nuclide, protons 2, neutrons 2, charge +2, spin 0, magnetic moment 0, boson) ",,,,
α-particle rest mass ,6.644 656 75[29] e-27 ,kg ,,4.001 506 179 125[62] u 
α-particle rest energy (mc2) ,5.971 919 67[26] e-10 ,kg.m2.s-2,J ,3727.379 240[82] MeV 
Particle physics data (source: Particle Data Group) ,,,,
"Neutrinos ν (stable leptons, charge 0, exist in e,μ,τ flavors, each has matter / anti-matter version with opposite chirality, spin 1/2, fermions) ",,,,
Electron neutrino νe rest energy (mc2) ,max 3.5 e-13 ,kg.m2.s-2,J ,0 to 2.2 eV 
Muon neutrino νμ rest energy (mc2) ,max 0.27 e-13 ,kg.m2.s-2,J ,0 to 0.17 MeV 
Tau neutrino ντ rest energy (mc2) ,max 24.8 e-13 ,kg.m2.s-2,J ,0 to 15.5 MeV 
"Muon μ± (lepton, charge ±1, matter μ-, antimatter μ+, spin 1/2, fermion) ",,,,
Muon rest energy (mc2) ,1.692 833 667[86] e-11 ,kg.m2.s-2,J ,105.658 3715[35] MeV 
Muon rest mass ,1.883 531 475[96] e-28 ,kg ,,0.113 428 9267[29] u 
Muon magnetic moment ,- 4.490 448 07[15] e-26 ,m2.A,J/T ,
Muon g-factor gμ ,- 2.002 331 8418[13] ,Dimensionless ,,(μ / μB) * (m / me) / spin 
Muon magnetic moment anomaly ,1.165 920 91[63] e-3 ,Dimensionless ,,(abs(gμ) - 2) / 2 
Muon gyromagnetic ratio ,135.538 817[12] e+6 ,kg-1.s.A,Hz/T ,= μn / h Sn 
Muon half-life time ,1.52 e-6 ,s ,,
"Tau τ± (lepton, charge ±1, matter τ-, antimatter τ+, spin 1/2, fermion) ",,,,
Tau rest energy (mc2) ,2.846 78[26] e-10 ,kg.m2.s-2,J ,1776.82[16] MeV 
Tau rest mass ,3.167 47[29] e-27 ,kg ,,1.907 49[17] u 
Tau half-life time ,2.9 e-13 ,s ,,
"Quarks with charge +2/3 (baryon number 1/3, exist in u,c,t flavors, each has matter / anti-matter versions with some property flipped, spin 1/2, fermions) ",,,,
u (up) quark rest energy (mc2) ,3.8 e-13 ,kg.m2.s-2,J ,"2.4 MeV, stable "
c (charm) quark rest energy (mc2) ,2.03 e-10 ,kg.m2.s-2,J ,"1.27 GeV, unstable "
t (top) quark rest energy (mc2) ,2.743 e-8 ,kg.m2.s-2,J ,"171.2 GeV, terribly unstable "
"Quarks with charge -1/3 (baryon number 1/3, exist in d,s,b flavors, each has matter / anti-matter versions with some property flipped, spin 1/2, fermions) ",,,,
d (down) quark rest energy (mc2) ,7.7 e-13 ,kg.m2.s-2,J ,"4.8 MeV, stable "
s (strange) quark rest energy (mc2) ,1.67 e-11 ,kg.m2.s-2,J ,"104 MeV, unstable "
b (bottom) quark rest energy (mc2) ,6.7 e-10 ,kg.m2.s-2,J ,"4.2 GeV, unstable "
"Pions π± (mesons, hadrons, charge ±1, anti-particles of each other, spin 0, boson, parity -, isospin 1) ",,,,
Pions π± rest energy (mc2) ,2.236 1607[56] e-11 ,kg.m2.s-2,J ,139.570 18[35] MeV 
Pions π± rest mass ,2.488 0643[62] e-28 ,kg ,,0.149 834 75[37] u 
Pions π± half-life time ,2.6 e-8 ,s ,,"quarks composition: π+: ud', π-: du' "
"Pion π0 (meson, hadron, charge 0, its own antiparticle, spin 0, boson, parity -,C-parity +, isospin 1) ",,,,
Pion π0 rest energy (mc2) ,2.162 5634[96] e-11 ,kg.m2.s-2,J ,134.976 60[60] MeV 
Pion π0 rest mass ,2.406 176[11] e-28 ,kg ,,0.144 903 34[64] u 
Pion π0 half-life time ,8.4 e-17 ,s ,,quarks composition: (uu'-dd')/&radiv;2 
"Kaons K± ('strange' mesons, hadrons, charge ±1, anti-particles of each other, spin 0, boson, parity -, isospin 1/2) ",,,,
Kaons K± rest energy (mc2) ,7.909 58[26] e-11 ,kg.m2.s-2,J ,493.677[16] MeV 
Kaons K± rest mass ,8.800 591[29] e-28 ,kg ,,0.529 984[17] u 
Kaons K± half-life time ,1.2380[21] e-8 ,s ,,"quarks composition: K+: us', K-: su' "
"Kaon K0 ('strange' meson, hadron, charge 0, self-antiparticle, spin 0, boson, isospin 1/2, parity -) ",,,,
Kaon K0 rest energy (mc2) ,7.972 65[38] e-11 ,kg.m2.s-2,J ,497.614[24] MeV; quarks: see below 
Kaon K0 rest mass ,8.870 77[42] e-28 ,kg ,,0.534 211[26] u 
Kaon K0L half-life time (long) ,5.116[20] e-8 ,s ,,quarks composition: (ds'+sd')/√2 
Kaon K0S half-life time (short) ,8.953[5] e-11 ,s ,,quarks composition: (ds'-sd')/√2 
"Eta mesons η and η' (hadrons, charge 0, antiparticles of each other, spin integer, bosons,  ",,,,
η rest energy (mc2) ,8.777 57[38] e-11 ,kg.m2.s-2,J ,547.853[24] MeV 
η rest mass ,9.766 36[42] e-28 ,kg ,,0.588 144[25] u 
η half-life time ,5.0[3] e-19  ,s ,,quarks composition: (uu'+dd'-2ss')/√6 
η' rest energy (mc2) ,1.53434[38] e-10 ,kg.m2.s-2,J ,957.66[24] MeV 
η' rest mass ,1.70718[43] e-27 ,kg ,,1.02809[26] u 
η' half-life time ,3.2[2] e-21  ,s ,,quarks composition: (uu'+dd'+ss')/√3 
"Lambda hyperons (baryons, charge 0 or +1, spin 1/2, fermions, parity +; predicted only: top Λt+, quarks udt, but t-quark decays before it hadronizes) ",,,,
Λ0 rest energy (mc2) ,1.7875211[96] e-10 ,kg.m2.s-2,J ,1.1156830[60] GeV; charge 0 
Λ0 rest mass ,1.988885[11] e-27 ,kg ,,1.1977349[64] u 
Λ0 half-life time ,2.631[20] e-10 ,s ,,quarks composition: uds 
Bottom Λ0b rest energy (mc2) ,9.0046[26] e-10 ,kg.m2.s-2,J ,5.6202[16] GeV; charge 0 
Bottom Λ0b rest mass ,1.00189[29] e-26 ,kg ,,6.0335[17] u 
Bottom Λ0b half-life time ,1.409[55] e-12 ,s ,,quarks composition: udb 
Charmed Λ+c rest energy (mc2) ,3.66331[22] e-10 ,kg.m2.s-2,J ,2.28646[14] GeV; charge +1 
Charmed Λ+c rest mass ,4.07599[25] e-27 ,kg ,,2.45462[15] u 
Charmed Λ+c half-life time ,2.000[60] e-13 ,s ,,quarks composition: udc 
"Sigma hyperons with spin 1/2 (barions, charge -1, 0, +1 or +2, fermions, parity +; predicted only: udb, uut, udt, ddt) ",,,,
Σ+ rest energy (mc2) ,1.90558[11] e-10 ,kg.m2.s-2,J ,1.189370[70] GeV; charge +1 
Σ+ rest mass ,2.12024[12] e-27 ,kg ,,1.276841[75] u 
Σ+ half-life time ,8.018[26] e-11 ,s ,,quarks composition: uus 
Σ0 rest energy (mc2) ,1.910823[38] e-10 ,kg.m2.s-2,J ,1.192642[24] GeV; charge 0 
Σ0 rest mass ,2.126077[43] e-27 ,kg ,,1.280353[26] u 
Σ0 half-life time ,7.40[70] e-20 ,s ,,quarks composition: uds 
Σ- rest energy (mc2) ,1.918525[48] e-10 ,kg.m2.s-2,J ,1.197449[30] GeV; charge -1 
Σ- rest mass ,2.13465[53] e-27 ,kg ,,1.285514[32] u 
Σ- half-life time ,1.479[11] e-10 ,s ,,quarks composition: dds 
Charmed Σc++ rest energy (mc2) ,3.93177[29] e-10 ,kg.m2.s-2,J ,2.45402[18] GeV; charge +2 
Charmed Σc++ rest mass ,4.37469[32] e-27 ,kg ,,2.63450[19] u 
Charmed Σc++ half-life time ,3.00[40] e-22 ,s ,,quarks composition: uuc 
Charmed Σc+ rest energy (mc2) ,3.92998[64] e-10 ,kg.m2.s-2,J ,2.45290[40] GeV; charge +1 
Charmed Σc+ rest mass ,4.37269[71] e-27 ,kg ,,2.63330[43] u 
Charmed Σc+ half-life time ,>1.4 e-22 ,s ,,quarks composition: udc 
Charmed Σc0 rest energy (mc2) ,3.93136[29] e-10 ,kg.m2.s-2,J ,2.45376[18] GeV; charge 0 
Charmed Σc0 rest mass ,4.37422[32] e-27 ,kg ,,2.63422[19] u 
Charmed Σc0 half-life time ,3.0 e-22 ,s ,,quarks composition: ddc 
Bottom Σb+ rest energy (mc2) ,9.3051[62] e-10 ,kg.m2.s-2,J ,5.8078[39] GeV; charge +1 
Bottom Σb+ rest mass ,1.03533[69] e-26 ,kg ,,6.2349[42] u 
Bottom Σb+ half-life time ,? ,s ,,quarks composition: uub 
Bottom Σb- rest energy (mc2) ,9.3170[43] e-10 ,kg.m2.s-2,J ,5.8152[27] GeV; charge -1 
Bottom Σb- rest mass ,1.03665[48] e-26 ,kg ,,6.2429[30] u 
Bottom Σb- half-life time ,? ,s ,,quarks composition: ddb 
"Sigma* hyperons with spin 3/2 (barions, charge -1, 0, +1 or +2, fermions, parity +; predicted only: uub, udb, ddb, uut, udt, ddt) ",,,,
Σ*+ rest energy (mc2) ,2.21549[64] e-10 ,kg.m2.s-2,J ,1.38280[40] GeV; charge +1 
Σ*+ rest mass ,2.46506[71] e-27 ,kg ,,1.48450[43] u 
Σ*+ half-life time ,1.840[40] e-23 ,s ,,quarks composition: uus 
Σ*0 rest energy (mc2) ,2.21693[16] e-10 ,kg.m2.s-2,J ,1.38370[10] GeV; charge 0 
Σ*0 rest mass ,2.46667[18] e-27 ,kg ,,1.48546[11] u 
Σ*0 half-life time ,1.80[30] e-23 ,s ,,quarks composition: uds 
Σ*- rest energy (mc2) ,2.22254[80] e-10 ,kg.m2.s-2,J ,1.38720[50] GeV; charge -1 
Σ*- rest mass ,2.47291[89] e-27 ,kg ,,1.48922[54] u 
Σ*- half-life time ,1.670[90] e-23 ,s ,,quarks composition: dds 
Charmed Σ*++c rest energy (mc2) ,4.03492[96] e-10 ,kg.m2.s-2,J ,2.51840[60] GeV; charge +2 
Charmed Σ*++c rest mass ,4.4894[11] e-27 ,kg ,,2.70361[64] u 
Charmed Σ*++c half-life time ,4.40[60] e-23 ,s ,,quarks composition: uuc 
Charmed Σ*+c rest energy (mc2) ,4.0335[37] e-10 ,kg.m2.s-2,J ,2.5175[23] GeV; charge +1 
Charmed Σ*+c rest mass ,4.4879[41] e-27 ,kg ,,2.7026[25] u 
Charmed Σ*+c half-life time ,> 3.9 e-23 ,s ,,quarks composition: udc 
Charmed Σ*0c rest energy (mc2) ,4.03428[80] e-10 ,kg.m2.s-2,J ,2.518 GeV; charge 0 
Charmed Σ*0c rest mass ,4.48874[89] e-27 ,kg ,,2.70318[54] u 
Charmed Σ*0c half-life time ,4.10[50] e-23 ,s ,,quarks composition: ddc 
"Xi hyperons (barions, charge -1, 0, +1, spin 1/2, fermions, parity +; predicted only: ucc, ubb, dbb, ucb, dcb) ",,,,
Ξ0 rest energy (mc2) ,2.106638[32] e-10 ,kg.m2.s-2,J ,1.31486[20] GeV; charge 0 
Ξ0 rest mass ,2.34395[35] e-27 ,kg ,,1.41156[21] u 
Ξ0 half-life time ,2.900[90] e-10 ,s ,,quarks composition: uss 
Ξ- rest energy (mc2) ,2.11697[21] e-10 ,kg.m2.s-2,J ,1.32131[13] GeV; charge -1 
Ξ- rest mass ,2.35544[23] e-27 ,kg ,,1.41848[14] u 
Ξ- half-life time ,1.639[15] e-10 ,s ,,quarks composition: dss 
Charmed Ξc+ rest energy (mc2) ,3.95401[64] e-10 ,kg.m2.s-2,J ,2.46790[40] GeV; charge +1 
Charmed Ξc+ rest mass ,4.39943[71] e-27 ,kg ,,2.64940[43] u 
Charmed Ξc+ half-life time ,4.42[26] e-13 ,s ,,quarks composition: usc 
Charmed Ξc0 rest energy (mc2) ,3.95898[64] e-10 ,kg.m2.s-2,J ,2.47100[40] GeV; charge 0 
Charmed Ξc0 rest mass ,4.40496[71] e-27 ,kg ,,2.65273[43] u 
Charmed Ξc0 half-life time ,1.12[13] e-13 ,s ,,quarks composition: dsc 
Double charmed Ξcc+ rest energy (mc2) ,5.6379[14] e-10 ,kg.m2.s-2,J ,3.51890[90] GeV; charge +1 
Double charmed Ξcc+ rest mass ,6.2730[16] e-27 ,kg ,,3.77769[97] u 
Double charmed Ξcc+ half-life time ,< 3.3 e-14 ,s ,,quarks composition: dcc 
Bottom Ξb0 rest energy (mc2) ,9.2798[48] e-10 ,kg.m2.s-2,J ,5.7920[30] GeV; charge 0 
Bottom Ξb0 rest mass ,1.0325[53] e-26 ,kg ,,6.2180[32] u 
Bottom Ξb0 half-life time ,1.42[28] e-12 ,s ,,quarks composition: usb 
Bottom Ξb- rest energy (mc2) ,9.2815[48] e-10 ,kg.m2.s-2,J ,5.7929[30] GeV; charge -1 
Bottom Ξb- rest mass ,1.0335[53] e-26 ,kg ,,6.2191[32] u 
Bottom Ξb- half-life time ,1.42[28] e-12 ,s ,,quarks composition: dsb 
"Ξ resonances:  {uss, S=3/2, 1.53180[32] GeV}, {dss, S=3/2, 1.53500[60] GeV}, {usc, S=1/2, 2.57570[31] GeV}, {dsc, S=1/2, 2.57800[29] GeV, 1.1e-13 s},  ",,,,
"Omega hyperons (barions, charge -1 or 0, spin 1/2 or 3/2, fermions, parity +; predicted only: scc, scb, sbb, ccc, ccb, cbb, bbb) ",,,,
Ω- rest energy (mc2) ,2.67956[46] e-10 ,kg.m2.s-2,J ,"1.67245[29] GeV; charge -1, spin 3/2 "
Ω- rest mass ,2.98141[52] e-27 ,kg ,,1.79544[31] u 
Ω- half-life time ,8.21[11] e-11 ,s ,,quarks composition: sss 
Charmed Ω0c rest energy (mc2) ,4.3219[41] e-10 ,kg.m2.s-2,J ,"2.6975[26] GeV; charge 0, spin 1/2 "
Charmed Ω0c rest mass ,4.8087[28] e-27 ,kg ,,2.8959[28] u 
Charmed Ω0c half-life time ,6.9[12] e-14 ,s ,,quarks composition: ssc 
Bottom Ω-b rest energy (mc2) ,9.700[11] e-10 ,kg.m2.s-2,J ,"6.0544[68] GeV; charge -1, spin 1/2 "
Bottom Ω-b rest mass ,1.0793[12] e-26 ,kg ,,6.49967[73] u 
Bottom Ω-b half-life time ,1.13[53] e-12 ,s ,,quarks composition: ssb 
"W ± gauge boson (charge ±1, matter W -, antimatter W+, spin 1) ",,,,
W boson rest energy (mc2) ,1.28791[24] e-8 ,kg.m2.s-2,J ,80.385[15] GeV 
W boson rest mass ,1.432993[25] e-25 ,kg ,,86.296[16] u 
"Z gauge boson (charge 0, spin 1) ",,,,
Z boson rest energy (mc2) ,1.460986[33] e-8 ,kg.m2.s-2,J ,91.1876[21] GeV 
Z boson rest mass ,1.625566[37] e-25 ,kg ,,97.8939[23] u 
"Higgs boson H0 (charge 0, spin 0, predicted only, not found) ",,,,
H0 rest energy (mc2) ,2.0042[34] e-8 ,kg.m2.s-2,J ,125.09[21] GeV; ATLAS/CMS 26 Mar 2015 
H0 rest mass ,2.2299[37] e-25 ,kg ,,134.29[23] u 
H0 half-life time ,1.56 e-22 ,s ,,"h/(2πΓ), predicted Γ = 4.21 MeV "
Cosmic microwave background (CMB) ,,,,
Mean apparent CMB temperature ,2.72548[57] ,K ,Kelvin ,From CMB black-body radiation spectrum 
rms variations of CMB temperature ,1.8 e-7 ,K ,,18 μK; deviations from perfect isotropy 
Peak frequency density νmax ,1.6023 e+11 ,Hz ,,"160.23 GHz, corresponding to λ = 1.871 mm "
Peak wavelength density λmax ,1.063 e-3 ,m ,,"1.063 mm, corresponding to 318.7 GHz "
